Repo Name,Contributing Guildlines Link,Commenting Practice Related Content,label,,A's label,B's label,Final label
androidannotations/androidannotations,https://github.com/androidannotations/androidannotations/wiki/HowToContributeCode,"Do not put any @author comment. Git keeps track of all your changes and @author does more harm then good.
All annotations should have proper JavaDoc. Describe the feature, how it can be used and what limitation the annotation have and code examples. You can look at existing annotations for examples.
","where to comment
 what to comment",,where->project_rules->android_javadoc what->required->functionality what->required->usage what->required->code_example what->required->limitation what->forbidden->author_tag,where->project_rules->android_javadoc what->required->functionality what->required->usage what->required->code_example what->required->limitation what->forbidden->author_tag,where->project_rules->android_javadoc what->required->functionality what->required->usage what->required->code_example what->required->limitation what->forbidden->author_tag
PEXPlugins/PermissionsEx,https://permissionsex.stellardrift.ca/contributing/style-guide,\,,,,,
itext/itextpdf,https://itextpdf.com/en/start-contributing#rules,"All public API methods must be documented with JavaDoc. To see how we document our APIs, please check out the existing javadocs.
We follow the rules contained in Oracle's Code Conventions for the Java Programming Language",where to comment,Oracle's Code Conventions,where->general_rules->explicit->all_methods ,where->general_rules->explicit->all_methods ,where->general_rules->explicit->all_methods 
processing/processing,https://github.com/processing/processing/wiki/Style-Guidelines,"Always one space after the // in single line comments
Two spaces before // at the end of a line (that has code as well)
Try to use // comments inside functions, to make it easier to remove a whole block via /* */
When making a fix related to an issue on Github, include the URL to the issue. Don't just put #3257 or something like that, use the URL. We can spare the extra characters: the extra letters won't make the PDE run slower, but will make it easier for someone returning to the code to look up the issue.

Already commented code There are many commented-out sections of code. Moreso than is actually a good idea. Usually they’re the result of trying many different things before getting to a final/working solution. It also sometimes prevents me from going back and making the same mistake again. This is, of course, bad practice: The former should be fixed with documentation, the latter fixed by heavier reliance on the version control system. However, since one developer is doing the vast majority of the work, I don’t win style points by cleaning up code for people who want to peruse it—and it takes time away if I have to come back and finish debugging a feature (I'm a bit feeble-minded that way). Because development is sporadic, I often have to set something down before it's finished, so I keep the alternate bits around. Also, it's often the case that one version of the code works on one platform (or version of Java) and not another. These go in and out of testing as I move around between platforms.",what to comment,,other->readability->space_indent,what->forbidden->commented_code other->readability->space_indent,other->readability->space_indent
riptano/brisk,\,\,,,,,
Sloeber/arduino-eclipse-plugin,\,\,,,,,
alibaba/canal,"https://github.com/alibaba/canal/blob/master/codeformat.xml
https://github.com/alibaba/canal/blob/master/codetemplates.xml",Style enforced by Eclipse using the configuration files,,,,,
httpcache4j/httpcache4j,\,\,,,,,
matsim-org/matsim,https://www.matsim.org/docs/contributing/,"We try to follow the Java Code Conventions(https://www.oracle.com/java/technologies/javase/codeconventions-contents.html)
Every public class should have the following items:

For every class, a statement what it is meant for.
For every class, a very rough description of what it does.
For every class, the author should be specified with the @author-tag
All these items should be written in a Javadoc block atop of the class.",what to comment,oracle,what->required->functionality what->required->usage what->required->author_info what->required->purpose ,what->required->functionality what->required->usage what->required->author_info what->required->purpose ,what->required->functionality what->required->usage what->required->author_info what->required->purpose 
jenkinsci/github-oauth-plugin,https://github.com/jenkinsci/github-oauth-plugin/blob/master/CONTRIBUTING.md,Javadoc - it would be nice if Javadoc was complete.,,,,,
esig/dss,\,\,,,,,
spotify/docker-client,https://github.com/spotify/docker-client/blob/master/CONTRIBUTING.md,\,,,,,
oracle/graal,https://www.graalvm.org/community/contributors/,\,,,,,
jclouds/jclouds,"https://cwiki.apache.org/confluence/display/JCLOUDS/Contribute
https://cwiki.apache.org/confluence/display/JCLOUDS/Writing+jclouds+Code
https://cwiki.apache.org/confluence/display/JCLOUDS/Coding+Standards?preview=/48792672/49840135/eclipse-code-formatter.xml",Style enforced by Eclipse using the configuration files,,,,,
apache/commons-vfs,https://github.com/apache/commons-vfs/blob/master/CONTRIBUTING.md,"For changes of a trivial nature to comments and documentation, it is not always necessary to create a new ticket in JIRA. In this case, it is appropriate to start the first line of a commit with '(doc)' instead of a ticket number.",,,,,
xtreemfs/xtreemfs,\,\,,,,,
IntellectualSites/PlotSquared,https://github.com/IntellectualSites/PlotSquared/blob/v6/CONTRIBUTING.md,\,,,,,
eclipse/eclipse.jdt.debug,https://github.com/ifedorenko/eclipse.jdt.debug/blob/master/CONTRIBUTING,\,,,,,
opensagres/xdocreport,https://github.com/opensagres/xdocreport/wiki/CodeFormatAndConvention,"Except for the license (MIT License instead of Apache License), we use the Maven Code Style and convention :

http://maven.apache.org/developers/conventions/code.html (JavaDoc Convention to be discussed)",,,,,
simeonradivoev/MatterOverdrive,https://github.com/simeonradivoev/MatterOverdrive/blob/1.10.2/CONTRIBUTING.md,\,,,,,
apache/incubator-brooklyn,"http://brooklyn.apache.org/developers/code-standards.html
http://brooklyn.apache.org/developers/how-to-contribute.html",\,,,,,
apiman/apiman,"https://github.com/apiman/apiman
https://github.com/apiman/apiman/blob/master/tools/src/eclipse/apiman-eclipse-formatter.xml",Style enforced by Eclipse using the configuration files,,,,,
Stratio/stratio-cassandra,\,\,,,,,
jnr/jnr-ffi,\,\,,,,,
jersey/jersey,https://eclipse-ee4j.github.io/jersey/contribute.html,\,,,,,
Staartvin/Autorank-2,\,\,,,,,
alexruiz/fest-swing-1.x,\,\,,,,,
spring-projects/spring-framework,"https://github.com/spring-projects/spring-framework/blob/master/CONTRIBUTING.md
https://github.com/spring-projects/spring-framework/wiki/Code-Style","Use of @since
@since should be added to every new class with the version of the framework in which it was introduced
@since should be added to any new public and protected methods of an existing class

The following template summarizes a typical use for the Javadoc of a method.
In particular, please note:
Use an imperative style (i.e. Return and not Returns) for the first sentence.
No blank lines between the description and the parameter descriptions.
If the description is defined with multiple paragraphs, start each of them with <p>.
If a parameter description needs to be wrapped, do not indent subsequent lines (see parserContext).

The Javadoc of a class has some extra rules that are illustrated by the sample below:
Each class must have a @since tag with the version in which the class was introduced.
The order of tags for class-level Javadoc is @author, @since and @see.
In contrast to method-level Javadoc, the paragraphs of a class description are separated by blank lines

The following are additional general rules to apply when writing Javadoc:
Use {@code} to wrap code statements or values such as null.
If a type is only referenced by a {@link} element, use the fully qualified name in order to avoid an unnecessary import declaration.

(Line Wrapping) The one big exception to the above line wrapping rules is Javadoc where we aim to wrap around 80 characters for maximum readability in all kinds of contexts, e.g. reading on Github, on your phone, etc.",what to comment,,what->required->creation_date what->required->@code what->required->@link other->readability->space_indent other->readability->language,what->required->creation_date what->required->@code what->required->@link other->readability->space_indent other->readability->language other->readability->order_of_tags,what->required->creation_date what->required->@code what->required->@link other->readability->space_indent other->readability->language other->readability->order_of_tags
Neamar/KISS,https://github.com/Neamar/KISS/blob/master/CONTRIBUTING.md,"Explain your changes, comment your code and make sure the CI is able to compile your code.",,,,,
dnanexus/dx-toolkit,\,\,,,,,
openhab/openhab1-addons,\,\,,,,,
spacewalkproject/spacewalk,\,\,,,,,
LibrePlan/libreplan,\,\,,,,,
ArcBees/GWTP,"https://www.libreplan.dev/open-source/get-involved/
http://dev.arcbees.com/gwtp/contributing/Contributing-Guidelines.html","Comments and Javadoc
Every file should have an Apache license header at the top, prefaced with a copyright notice. A package statement and import statements should follow, each block separated by a blank line. Next is the class or interface declaration. In the Javadoc comments, describe what the class or interface does.",what to comment,,,what->required->functionality,what->required->functionality
toddlipcon/hadoop,https://cwiki.apache.org/confluence/display/HADOOP/How+To+Contribute,"Javadoc
Please also check the javadoc.  

 mvn process-sources javadoc:javadoc-no-fork
 firefox target/site/api/index.html
Examine all public classes you've changed to see that documentation is complete, informative, and properly formatted. Your patch must not generate any javadoc warnings.  

Jenkins includes a javadoc run on Java 8 and Java 11, it will fail if there are unbalanced HTML tags or <p/> clauses (use <p> here.  

If Jenkins rejects a patch due to Java 8 or Java 11 javadoc failures, it is considered an automatic veto for the patch.",,,other->maintenance->update,,other->maintenance->update
dma-ais/AisLib,\,\,,,,,
hltfbk/Excitement-Open-Platform,https://github.com/hltfbk/Excitement-Open-Platform/wiki/Code-Style,"Documentation
Every class / interface / enum should include a main comment in its beginning, describing:

the purpose of the class
its contents
its usage
and how it is related to other classes.
The main comment should include also the author name (first name and surname, with no abbreviations) and the date when the class was created first.

Each method must be paired with a comment describing its purpose, usage, parameters, return value. In particular, the comment must make explicit as any policies on its use beyond its type signature.

The class and functions (methods) comments specified above should be in Java-Doc format. (Tip: in Eclipse use Alt+Shift+J to generate a javadoc skeleton.)

Comments should be written in the code itself, describing the flow, i.e. describing what the code does. It is required when the code is not clear (i.e. self explaining), and recommended for any long code (long code = code with more that 5 lines).

The best practice is writing in such a way that a programmer that will read your code will be able to understand it, without additional explanations.","where to comment
 what to comment",,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->complex_code what->required->functionality what->required->usage what->required->purpose what->required->relationship,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->complex_code what->required->functionality what->required->usage what->required->author_info what->required->creation_date what->required->purpose what->required->relationship,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->complex_code what->required->functionality what->required->usage what->required->author_info what->required->creation_date what->required->purpose what->required->relationship
itext/itext7,"https://github.com/itext/itext7/blob/develop/CONTRIBUTING.md
https://github.com/itext/itext7/blob/develop/CodeConventions.md","All public API methods must be documented with JavaDoc. To see how we document our APIs, please check out the existing javadocs.
We follow the rules contained in Oracle's Code Conventions for the Java Programming Language, with these additions:
Wrap all code at 100 characters.",where to comment,Orcale Guide,where->general_rules->explicit->all_methods ,where->general_rules->explicit->all_methods ,where->general_rules->explicit->all_methods 
CyanogenMod/android_libcore,\,\,,,,,
rhq-project/rhq,https://docs.jboss.org/author/display/RHQ/Contributions.html,\,,,,,
cdk/cdk,\,\,,,,,
Cardshifter/Cardshifter,https://github.com/Cardshifter/Cardshifter/wiki/Developer-Guidelines,We would like everyone to follow the most common coding standard for the language you are coding in.,,,,,
mikepenz/MaterialDrawer,\,\,,,,,
apache/wicket,https://wicket.apache.org/contribute/,\,,,,,
keeps/roda,"https://github.com/keeps/roda/blob/master/CONTRIBUTING.md
https://github.com/keeps/roda/blob/master/documentation/Developers_Guide.md","To increase the changes of you code being accepted and merged into RODA source here's a checklist of things to go over before submitting a contribution:
Has documentation (at least 80% of public API)",,,where->general_rules->explicit->all_methods,,where->general_rules->explicit->all_methods
ciandt-dev/tech-gallery,\,\,,,,,
advantageous/qbit,\,\,,,,,
moneymanagerex/android-money-manager-ex,\,\,,,,,
neo4j/neo4j,"https://github.com/neo4j/neo4j/blob/4.2/CONTRIBUTING.md
http://neo4j.github.io/code-style/neo4j-eclipse.xml
http://neo4j.github.io/code-style/neo4j-intellij.xml","Make sure you're familiar with the appropriate coding style (this varies by language so ask if you're in doubt)
Style enforced by Eclipse using the configuration files",,,,,
astrapi69/jaulp-wicket,\,\,,,,,
grpc/grpc-java,https://github.com/grpc/grpc-java/blob/master/CONTRIBUTING.md,"We follow the Google Java Style Guide. Our build automatically will provide warnings for style issues. Eclipse and IntelliJ style configurations are commonly useful.  For IntelliJ 14, copy the style to ~/.IdeaIC14/config/codestyles/, start IntelliJ, go to File > Settings > Code Style, and set the Scheme to GoogleStyle.",,Google Guide,,,
codinguser/gnucash-android,https://github.com/codinguser/gnucash-android/blob/master/.github/CONTRIBUTING.md,"Do write comments. You don't have to comment every line, but if you come up with something thats a bit complex/weird, just leave a comment. Bear in mind that you will probably leave the project at some point and that other people will read your code. Undocumented huge amounts of code are nearly worthless!

Please make sure to document every method you write using Javadoc, even if the method seems trivial to you
See this guide on how to write good Javadoc comments

Documentation should be kept up-to-date. This means, whenever you add a new API method, add a new hook or change the database model, pack the relevant changes to the docs in the same pull request.",where to comment,,where->general_rules->explicit->all_methods where->general_rules->implicit->complex_code other->maintenance->update,where->general_rules->explicit->all_methods where->general_rules->implicit->complex_code other->maintenance->update,where->general_rules->explicit->all_methods where->general_rules->implicit->complex_code other->maintenance->update
aosp-mirror/platform_frameworks_support,https://source.android.com/setup/contribute/code-style#use-javadoc-standard-comments,"Every file should have a copyright statement at the top, followed by package and import statements (each block separated by a blank line), and finally the class or interface declaration. In the Javadoc comments, describe what the class or interface does.
Every class and nontrivial public method that you write must contain a Javadoc comment with at least one sentence describing what the class or method does. This sentence should start with a third person descriptive verb.
You don't need to write Javadoc for trivial get and set methods such as setFoo() if all your Javadoc would say is ""sets Foo"". If the method does something more complex (such as enforcing a constraint or has an important side effect), then you must document it. If it's not obvious what the property ""Foo"" means, you should document it.
Every method you write, public or otherwise, would benefit from Javadoc. Public methods are part of an API and therefore require Javadoc. Android doesn't enforce a specific style for writing Javadoc comments, but you should follow the instructions in How to Write Doc Comments for the Javadoc Tool.

Use TODO comments for code that is temporary, a short-term solution, or good enough but not perfect. These comments should include the string TODO in all caps
If your TODO is of the form ""At a future date do something"" make sure that you either include a specific date (""Fix by November 2005"") or a specific event (""Remove this code after all production mixers understand protocol V7."").

If a comment line contains an example command or a literal URL longer than 100 characters, that line may be longer than 100 characters for ease of cut and paste.

","where to comment
 what to comment",,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->nontrivial_public_method what->required->functionality what->required->TODO other->readability->space_indent other->readability->language,where->general_rules->explicit->all_classes where->general_rules->implicit->nontrivial_public_method what->required->functionality what->required->TODO other->readability->language,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->implicit->nontrivial_public_method what->required->functionality what->required->TODO other->readability->space_indent other->readability->language
ibinti/bugvm,\,\,,,,,
ow2-proactive/scheduling,\,\,,,,,
bazelbuild/bazel,"https://bazel.build/basics/docs-style.html
https://bazel.build/basics/getting_started.html","Download Google’s Java Code Style Scheme file for IntelliJ, import it (go to Preferences > Editor > Code Style > Java, click Manage, then Import) and use it when working on Bazel’s code.",,Google Guide,,,
wicketstuff/core,"https://cwiki.apache.org/confluence/display/WICKET/Wicket+Source+Code+Style#WicketSourceCodeStyle-JavaDoc
https://github.com/wicketstuff/core/wiki#code-formatting",Details can be found https://cwiki.apache.org/confluence/display/WICKET/Wicket+Source+Code+Style,,,other->readability->space_indent,what->required->functionality what->required->usage,other->readability->space_indent
seedstack/seed,https://github.com/seedstack/seedstack/blob/master/CONTRIBUTING.md,\,,,,,
Netflix/governator,\,\,,,,,
eclipse/emf.compare,https://wiki.eclipse.org/EMF_Compare/Contributor_Guide,"The EMF Compare team uses Checkstyle with its own set of rules in order to have an homogeneous code style throughout the plugins and features.
",,,,,
jdmonin/JSettlers2,\,\,,,,,
sleuthkit/autopsy,\,\,,,,,
facebook/fresco,https://github.com/facebook/fresco/blob/master/CONTRIBUTING.md,follow the practice of Oracle's Coding Conventions for the Java Programming Language.,,Oracle Guide,,,
FamilySearch/gedcomx-java,\,\,,,,,
apache/axis2-java,http://axis.apache.org/axis2/java/core/overview.html#,\,,,,,
apache/metron,"https://github.com/apache/metron/blob/master/CONTRIBUTING.md
https://cwiki.apache.org/confluence/display/METRON/Development+Guidelines","Follow the Google Java Style Guide

Code-Level Documentation
Self-documenting code (variable, method, class) has a clear semantic name
Accurate, sufficient for developers to code against
Follows standard Javadoc conventions
Loggers and logging levels covered if they do not follow our conventions (see below)
System properties, configuration options, and resources covered
Illegal arguments are properly documented as appropriate
Package and overview Javadoc are updated as appropriate
Javadoc comments are mandatory for all public APIs
Generate Javadocs for release builds","where to comment
 what to comment",Google Guide,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes other->maintenance->update ,where->general_rules->explicit->all_methods what->required->usage,where->general_rules->explicit->all_methods what->required->usage other->maintenance->update 
apache/asterixdb,\,\,,,,,
fabric8io/fabric8,\,\,,,,,
openmicroscopy/bioformats,"https://github.com/ome/bioformats/blob/develop/CONTRIBUTING.md 
https://docs.openmicroscopy.org/bio-formats/6.6.0/developers/code-formatting.html",\,,,,,
geosdi/geo-platform,\,\,,,,,
SlimRoms/packages_apps_SlimLauncher,\,\,,,,,
orientechnologies/orientdb,https://orientdb.org/docs/3.0.x/misc/Contribute-to-OrientDB.html,"Code formatting
v 3.1 and following
Since v 3.1, OrientDB uses Google code formatter.

In IntelliJ Idea, you can use this plugin https://plugins.jetbrains.com/plugin/8527-google-java-format

From Maven, you can run mvn com.coveo:fmt-maven-plugin:format for automatic code format.

v 3.0 and previous releases
For previus versions (until 3.0) you can use eclipse java formatter config file, that you can find here: _base/ide/eclipse-formatter.xml.

If you use IntelliJ IDEA you can install this plugin and use formatter profile mentioned above.",,Google Java Format?,,,
tracecompass/tracecompass,https://wiki.eclipse.org/Trace_Compass/Code_Style,The project's coding style is defined in Eclipse project settings,,,,,
sharding-sphere/sharding-sphere,https://github.com/apache/shardingsphere/blob/master/CONTRIBUTING.md,"Class for test case and @Test annotation do not need javadoc.
Use English in all the logs and javadoc.
Include Javadoc, todo and fixme only in the comments.
Only public classes and methods need javadoc, other methods, classes and override methods do not need javadoc.",where to comment,,where->general_rules->explicit->all_methods where->general_rules->explicit->test_cases where->general_rules->explicit->none_in_overriding_methods other->readability->english,where->general_rules->explicit->all_methods where->general_rules->explicit->none_in_overriding_methods where->general_rules->explicit->none_in_test_cases other->readability->english,where->general_rules->explicit->all_methods where->general_rules->explicit->none_in_overriding_methods where->general_rules->explicit->none_in_test_cases other->readability->english
jenkinsci/pmd-plugin,\,\,,,,,
comunes/kune,https://github.com/comunes/kune/blob/master/DEV-GUIDE.md,\,,,,,
opendatakit/javarosa,https://github.com/getodk/javarosa/blob/master/CONTRIBUTING.md,"For now, match the style of the code in the file you are editing.",,,,,
EvoSuite/evosuite,\,\,,,,,
TaintDroid/android_platform_frameworks_base,\,\,,,,,
apache/tomcat,https://github.com/apache/tomcat/blob/master/CONTRIBUTING.md,Apache Tomcat has very loosely defined coding conventions ,,,,,
jenkinsci/sauce-ondemand-plugin,"https://www.jenkins.io/participate/
https://wiki.jenkins.io/display/JENKINS/Beginners+Guide+to+Contributing#BeginnersGuidetoContributing-Areyouinterestedinwritingcode%3F","In the core, we try to loosely follow the Oracle Java Code Conventions. Plugins are up to each owner, and we respect whatever choice they make.",,Oracle Guide,,,
DV8FromTheWorld/JDA,"https://github.com/DV8FromTheWorld/JDA/wiki/5)-Contributing
https://github.com/DV8FromTheWorld/JDA/wiki/6%29-JDA-Structure-Guide#javadoc","If your addition is not internal (e.g. an impl class or private method) you have to write documentation.
For that please follow the JavaDoc template
We put JavaDoc on the following targets:
Concise description in https://github.com/DV8FromTheWorld/JDA/wiki/6%29-JDA-Structure-Guide#javadoc","where to comment
 what to comment",, where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes what->required->@link other->readability->space_indent,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes what->required->usage what->required->@code what->required->@link other->readability->space_indent,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes what->required->usage what->required->@code what->required->@link other->readability->space_indent
stripe/stripe-java,\,\,,,,,
JFXtras/jfxtras-labs,\,\,,,,,
eclipse/lsp4j,https://github.com/eclipse/lsp4j/blob/master/Contributing.md,\,,,,,
bbottema/simple-java-mail,\,\,,,,,
freedomotic/freedomotic,https://github.com/freedomotic/freedomotic/blob/master/CONTRIBUTING.md,\,,,,,
wala/WALA,https://github.com/wala/WALA/blob/master/CONTRIBUTING.md,"DO format your code using Google Java Format. You can do so by running ./gradlew googleJavaFormat. A CI job will fail if your code is not formatted in this way.

DO make liberal use of Javadoc and comments to document code.",,Google Java Format,,,
real-logic/aeron,https://github.com/real-logic/aeron/blob/master/CONTRIBUTING.md,\,,,,,
j256/ormlite-core,\,\,,,,,
RPTools/maptool,https://github.com/RPTools/maptool/blob/main/doc/Code_Style_and_Guidelines.md,The Google Java Style Guide is incorporated by reference. Submitted code shall follow those guidelines unless modified by one or more of the following rules.,,Google Java Format,,,
IntellectualSites/PlotSquared,"https://github.com/IntellectualSites/PlotSquared/blob/v5/CONTRIBUTING.md
https://github.com/IntellectualSites/PlotSquared/blob/v5/code_style.xml","If you are planning to commit any changes to the project, it would be highly appreciated if you were to follow the project code style conventions. To make this easier we have provided settings that can be imported into your IDE.",,,,,
vespa-engine/vespa,https://github.com/vespa-engine/vespa,\,,,,,
sreichholf/dreamDroid,\,\,,,,,
springside/springside4,\,\,,,,,
dma-enav/EPD,\,\,,,,,
jtalks-org/jcommune,\,\,,,,,
OpenNMS/opennms,https://github.com/OpenNMS/opennms/blob/develop/CONTRIBUTING.md,\,,,,,
dkpro/dkpro-core,https://dkpro.github.io/contributing/,"The CONTRIBUTORS.txt file is used to keep track of contributors. It is to be used in favor over author attributions in individual files, e.g. via @author tags. For @author tags in code copied from a third-party, see Integrating third-party code below.

We use a style for formatting the source code in {product-name}. Our approach consists of two steps:
DKPro code formatting profile - the profile configures your IDE to auto-format the code according to our guidelines as you go.
Checkstyle - this tool is used to check if the source code is actually formatted according to our guidelines. It is run as part of a Maven build and the build fails if the code is not formatted properly.",what to comment,,what->forbidden->author_tag,what->forbidden->author_tag,what->forbidden->author_tag
nitnelave/CreeperHeal,\,\,,,,,
eclipse/eclipse.platform.text,\,\,,,,,
wmixvideo/nfe,\,\,,,,,
google/tink,"https://github.com/google/tink/blob/master/docs/CONTRIBUTING.md
https://github.com/google/tink/blob/master/docs/JAVA-HACKING.md",\,,,,,
floodlight/floodlight,\,\,,,,,
CONNECT-Solution/CONNECT,\,\,,,,,
VanirAOSP/frameworks_base,\,\,,,,,
biojava/biojava,https://github.com/biojava/biojava/blob/master/CONTRIBUTING.md,"Please add javadocs following standard java conventions. Javadocs are a must for public facing API methods.
Add @author tags to class javadocs.
Be sure to add @since tags whenever adding a new public-facing API method/field/class.
","where to comment
 what to comment",,where->general_rules->explicit->all_methods what->required->author_info what->required->creation_date,where->general_rules->explicit->all_methods what->required->author_info what->required->creation_date,where->general_rules->explicit->all_methods what->required->author_info what->required->creation_date
demoiselle/framework,\,\,,,,,
resteasy/Resteasy,https://github.com/resteasy/Resteasy/blob/master/CONTRIBUTING.md,Make sure to follow the code style of the existing code.,,,,,
strapdata/elassandra,https://github.com/strapdata/elassandra/blob/v6.8.4-strapdata/CONTRIBUTING.md,\,,,,,
joniles/mpxj,\,\,,,,,
opendaylight/mdsal,\,\,,,,,
CyanogenMod/android_frameworks_base,\,\,,,,,
AuthMe/AuthMeReloaded,https://github.com/AuthMe/AuthMeReloaded/wiki/AuthMe-Coding-Styleguide,"Maintainability
Program for an audience �?let others benefit from the effort you've spent in analyzing a problem by writing comments and JavaDoc for code that is not obvious:
Similarly, create issues in the issue tracker for larger problems or improvements instead of just writing a TODO comment. TODO comments are guaranteed to get forgotten if they are not actively tended to.

JavaDoc
Use the third person (""Gets the player's name"") or the imperative mood (""Get the player's name""); it should be consistent within a class. JavaDoc should briefly explain what the method does and provide additional information to the developer.

Put an empty line between the description and the first @param.",what to comment,,where->general_rules->implicit->complex_code where->general_rules->implicit->nontrivial_public_method what->required->functionality what->forbidden->TODO other->readability->space_indent other->readability->language,what->required->functionality what->forbidden->TODO other->readability->space_indent other->readability->language,where->general_rules->implicit->complex_code where->general_rules->implicit->nontrivial_public_method what->required->functionality what->forbidden->TODO other->readability->space_indent other->readability->language
candlepin/candlepin,\,\,,,,,
magefree/mage,\,\,,,,,
oblac/jodd,"https://github.com/oblac/jodd/blob/master/CONTRIBUTING.md
https://github.com/oblac/jodd/blob/master/STYLEGUIDE.md","For now, we are not able to maintain deprecated methods and the use of @Since tag versions. We simply don't have enough resources for that atm, sorry. It's better not to have it, but to have it all wrong.

Each benchmark class must contain results in the Javadoc of the class: just copy/paste whatever is the JMH output.",what to comment,,what->forbidden->since_tag,what->forbidden->since_tag,what->forbidden->since_tag
apache/jmeter,https://github.com/apache/jmeter/blob/master/CONTRIBUTING.md,Your coding style is similar to ours.,,,,,
apache/mina,\,\,,,,,
dana-i2cat/opennaas,\,\,,,,,
vt-middleware/ldaptive,\,\,,,,,
real-logic/simple-binary-encoding,https://github.com/real-logic/simple-binary-encoding/blob/master/CONTRIBUTING.md,"When submitting code, please make every effort to follow existing conventions and style in order to keep the code as readable as possible.",,,,,
JCTools/JCTools,\,\,,,,,
mdht/mdht,\,\,,,,,
liferay/com-liferay-commerce,\,\,,,,,
Twitter4J/Twitter4J,http://twitter4j.org/en/development.html,Source code need to respect Code Conventions for the Java(TM) Programming Language (https://www.oracle.com/java/technologies/javase/codeconventions-contents.html) as much as possible. And indentation is four spaces.,,Orcale Guide,,,
geosolutions-it/imageio-ext,\,\,,,,,
apache/commons-math,"https://github.com/apache/commons-math/blob/master/CONTRIBUTING.md
https://commons.apache.org/patches.html",Respect the original code style:,,,,,
fbacchella/jrds,\,\,,,,,
hazelcast/hazelcast,https://github.com/hazelcast/hazelcast/blob/master/CONTRIBUTING.md,"Before you push, run the command mvn clean package -DskipTests -P checkstyle,spotbugs in your terminal and fix the CheckStyle and SpotBugs errors if any. Push your PR once it is free of CheckStyle and SpotBugs errors.",,,,,
kuali/rice,https://wiki.kuali.org/display/KULRICE/Javadoc+Standards,see the link,"where to comment
 what to comment",,where->general_rules->explicit->all_methods what->required->author_info other->readability->space_indent,where->general_rules->explicit->all_methods what->required->functionality what->required->usage what->required->author_info,where->general_rules->explicit->all_methods what->required->functionality what->required->usage what->required->author_info
eclipse/che,https://github.com/eclipse/che/blob/master/CONTRIBUTING.md,"Code produced is complete
No TODO comments left in the PR source code.",what to comment,,what->required->TODO,what->required->TODO,what->required->TODO
